cost,costval,income,incomeval,quality,insured,colorhosp,code,procedure_code,description,,,,,
19.23409091,423.15,405.5913043,46643,4,55,,,,,158,380.32,74183,Mri abdomen w/o & w/dye,
2.030227273,44.665,405.5913043,46643,4,55,,,,,158,423.15,74183,Mri abdomen w/o & w/dye,
21.15772727,465.47,405.5913043,46643,4,55,,,,,158,44.665,74183,Mri abdomen w/o & w/dye,
21.47909091,472.54,405.5913043,46643,4,55,,,,,158,465.47,74183,Mri abdomen w/o & w/dye,
22.11954545,486.63,405.5913043,46643,4,55,,,,,158,472.54,74183,Mri abdomen w/o & w/dye,
26.44727273,581.84,405.5913043,46643,4,55,,,,,158,486.63,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,405.5913043,46643,4,55,,,,,158,581.84,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,405.5913043,46643,4,55,,,,,158,64.77,74183,Mri abdomen w/o & w/dye,
3.091363636,68.01,405.5913043,46643,4,55,,,,,158,67.94,74183,Mri abdomen w/o & w/dye,
3.180909091,69.98,405.5913043,46643,4,55,,,,,158,68.01,74183,Mri abdomen w/o & w/dye,
37.89727273,833.74,405.5913043,46643,4,55,,,,,158,69.98,74183,Mri abdomen w/o & w/dye,
4.272272727,93.99,405.5913043,46643,4,55,,,,,158,833.74,74183,Mri abdomen w/o & w/dye,
5.021969682,110.483333,739.8869565,85087,4,55,,,,,158,93.99,74183,Mri abdomen w/o & w/dye,
7.889545455,173.57,739.8869565,85087,4,55,,,,,159,110.483333,74183,Mri abdomen w/o & w/dye,
8.782424227,193.213333,739.8869565,85087,4,55,,,,,159,173.57,74183,Mri abdomen w/o & w/dye,
8.901363636,195.83,739.8869565,85087,4,55,,,,,159,193.213333,74183,Mri abdomen w/o & w/dye,
10.06352273,221.3975,739.8869565,85087,4,55,,,,,159,195.83,74183,Mri abdomen w/o & w/dye,
10.36227273,227.97,739.8869565,85087,4,55,,,,,159,221.3975,74183,Mri abdomen w/o & w/dye,
11.37363636,250.22,739.8869565,85087,4,55,,,,,159,227.97,74183,Mri abdomen w/o & w/dye,
13.82941555,304.247142,739.8869565,85087,4,55,,,,,159,250.22,74183,Mri abdomen w/o & w/dye,
15.54409091,341.97,739.8869565,85087,4,55,,,,,159,304.247142,74183,Mri abdomen w/o & w/dye,
16.86454545,371.02,739.8869565,85087,4,55,,,,,159,341.97,74183,Mri abdomen w/o & w/dye,
17.17909091,377.94,739.8869565,85087,4,55,,,,,159,371.02,74183,Mri abdomen w/o & w/dye,
17.25863636,379.69,739.8869565,85087,4,55,,,,,159,377.94,74183,Mri abdomen w/o & w/dye,
18.87045455,415.15,739.8869565,85087,4,55,,,,,159,379.69,74183,Mri abdomen w/o & w/dye,
19.23409091,423.15,739.8869565,85087,4,55,,,,,159,415.15,74183,Mri abdomen w/o & w/dye,
21.15772727,465.47,739.8869565,85087,4,55,,,,,159,423.15,74183,Mri abdomen w/o & w/dye,
21.21,466.62,739.8869565,85087,4,55,,,,,159,465.47,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,739.8869565,85087,4,55,,,,,159,466.62,74183,Mri abdomen w/o & w/dye,
3.032272727,66.71,739.8869565,85087,4,55,,,,,159,64.77,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,739.8869565,85087,4,55,,,,,159,66.71,74183,Mri abdomen w/o & w/dye,
4.053181818,89.17,739.8869565,85087,4,55,,,,,159,67.94,74183,Mri abdomen w/o & w/dye,
5.066818182,111.47,610.6695652,70227,4,55,,,,,159,89.17,74183,Mri abdomen w/o & w/dye,
9.567954545,210.495,610.6695652,70227,4,55,,,,,160,111.47,74183,Mri abdomen w/o & w/dye,
9.64,212.08,610.6695652,70227,4,55,,,,,160,210.495,74183,Mri abdomen w/o & w/dye,
14.57909091,320.74,610.6695652,70227,4,55,,,,,160,212.08,74183,Mri abdomen w/o & w/dye,
16.19181818,356.22,610.6695652,70227,4,55,,,,,160,320.74,74183,Mri abdomen w/o & w/dye,
18.52318182,407.51,610.6695652,70227,4,55,,,,,160,356.22,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,610.6695652,70227,4,55,,,,,160,407.51,74183,Mri abdomen w/o & w/dye,
4.053181818,89.17,610.6695652,70227,4,55,,,,,160,64.77,74183,Mri abdomen w/o & w/dye,
0,0,495.1478261,56942,4,55,,,,,160,89.17,74183,Mri abdomen w/o & w/dye,
9.076168818,199.675714,495.1478261,56942,4,55,,,,,161,0,74183,Mri abdomen w/o & w/dye,
9.207727273,202.57,495.1478261,56942,4,55,,,,,161,199.675714,74183,Mri abdomen w/o & w/dye,
10.06159091,221.355,495.1478261,56942,4,55,,,,,161,202.57,74183,Mri abdomen w/o & w/dye,
10.31931818,227.025,495.1478261,56942,4,55,,,,,161,221.355,74183,Mri abdomen w/o & w/dye,
10.98363636,241.64,495.1478261,56942,4,55,,,,,161,227.025,74183,Mri abdomen w/o & w/dye,
12.41121209,273.046666,495.1478261,56942,4,55,,,,,161,241.64,74183,Mri abdomen w/o & w/dye,
1.663409091,36.595,495.1478261,56942,4,55,,,,,161,273.046666,74183,Mri abdomen w/o & w/dye,
16.46090909,362.14,495.1478261,56942,4,55,,,,,161,36.595,74183,Mri abdomen w/o & w/dye,
17.17909091,377.94,495.1478261,56942,4,55,,,,,161,362.14,74183,Mri abdomen w/o & w/dye,
17.69454545,389.28,495.1478261,56942,4,55,,,,,161,377.94,74183,Mri abdomen w/o & w/dye,
18.87909091,415.34,495.1478261,56942,4,55,,,,,161,389.28,74183,Mri abdomen w/o & w/dye,
1.962727273,43.18,495.1478261,56942,4,55,,,,,161,415.34,74183,Mri abdomen w/o & w/dye,
21.15772727,465.47,495.1478261,56942,4,55,,,,,161,43.18,74183,Mri abdomen w/o & w/dye,
2.489363636,54.766,495.1478261,56942,4,55,,,,,161,465.47,74183,Mri abdomen w/o & w/dye,
2.533409091,55.735,495.1478261,56942,4,55,,,,,161,54.766,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,495.1478261,56942,4,55,,,,,161,55.735,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,495.1478261,56942,4,55,,,,,161,64.77,74183,Mri abdomen w/o & w/dye,
3.296969682,72.533333,495.1478261,56942,4,55,,,,,161,67.94,74183,Mri abdomen w/o & w/dye,
3.884090909,85.45,495.1478261,56942,4,55,,,,,161,72.533333,74183,Mri abdomen w/o & w/dye,
5.573181818,122.61,642.3391304,73869,4,55,,,,,161,85.45,74183,Mri abdomen w/o & w/dye,
6.880909091,151.38,642.3391304,73869,4,55,,,,,163,122.61,74183,Mri abdomen w/o & w/dye,
10.365,228.03,642.3391304,73869,4,55,,,,,163,151.38,74183,Mri abdomen w/o & w/dye,
16.09,353.98,642.3391304,73869,4,55,,,,,163,228.03,74183,Mri abdomen w/o & w/dye,
0,0,684.6,78729,4,55,,,,,163,353.98,74183,Mri abdomen w/o & w/dye,
8.041969682,176.923333,684.6,78729,4,55,,,,,164,0,74183,Mri abdomen w/o & w/dye,
9.298030273,204.556666,684.6,78729,4,55,,,,,164,176.923333,74183,Mri abdomen w/o & w/dye,
10.10136364,222.23,684.6,78729,4,55,,,,,164,204.556666,74183,Mri abdomen w/o & w/dye,
10.39954545,228.79,684.6,78729,4,55,,,,,164,222.23,74183,Mri abdomen w/o & w/dye,
10.49681818,230.93,684.6,78729,4,55,,,,,164,228.79,74183,Mri abdomen w/o & w/dye,
10.80446968,237.698333,684.6,78729,4,55,,,,,164,230.93,74183,Mri abdomen w/o & w/dye,
10.89227273,239.63,684.6,78729,4,55,,,,,164,237.698333,74183,Mri abdomen w/o & w/dye,
11.83431818,260.355,684.6,78729,4,55,,,,,164,239.63,74183,Mri abdomen w/o & w/dye,
11.90636364,261.94,684.6,78729,4,55,,,,,164,260.355,74183,Mri abdomen w/o & w/dye,
12.28363636,270.24,684.6,78729,4,55,,,,,164,261.94,74183,Mri abdomen w/o & w/dye,
1.472045455,32.385,684.6,78729,4,55,,,,,164,270.24,74183,Mri abdomen w/o & w/dye,
1.663409091,36.595,684.6,78729,4,55,,,,,164,32.385,74183,Mri abdomen w/o & w/dye,
17.25863636,379.69,684.6,78729,4,55,,,,,164,36.595,74183,Mri abdomen w/o & w/dye,
17.71090909,389.64,684.6,78729,4,55,,,,,164,379.69,74183,Mri abdomen w/o & w/dye,
32.35318182,711.77,482.4695652,55484,4,55,,,,,164,389.64,74183,Mri abdomen w/o & w/dye,
32.42522727,713.355,482.4695652,55484,4,55,,,,,165,711.77,74183,Mri abdomen w/o & w/dye,
0,0,588.3217391,67657,4,55,,,,,165,713.355,74183,Mri abdomen w/o & w/dye,
7.679318182,168.945,588.3217391,67657,4,55,,,,,166,0,74183,Mri abdomen w/o & w/dye,
11.005,242.11,588.3217391,67657,4,55,,,,,166,168.945,74183,Mri abdomen w/o & w/dye,
13.10696968,288.353333,588.3217391,67657,4,55,,,,,166,242.11,74183,Mri abdomen w/o & w/dye,
13.66988636,300.7375,588.3217391,67657,4,55,,,,,166,288.353333,74183,Mri abdomen w/o & w/dye,
15.35863636,337.89,588.3217391,67657,4,55,,,,,166,300.7375,74183,Mri abdomen w/o & w/dye,
17.28409091,380.25,588.3217391,67657,4,55,,,,,166,337.89,74183,Mri abdomen w/o & w/dye,
17.50590909,385.13,588.3217391,67657,4,55,,,,,166,380.25,74183,Mri abdomen w/o & w/dye,
18.25227273,401.55,588.3217391,67657,4,55,,,,,166,385.13,74183,Mri abdomen w/o & w/dye,
3.032272727,66.71,588.3217391,67657,4,55,,,,,166,401.55,74183,Mri abdomen w/o & w/dye,
36.37681818,800.29,588.3217391,67657,4,55,,,,,166,66.71,74183,Mri abdomen w/o & w/dye,
8.540681818,187.895,553.8173913,63689,4,55,,,,,166,800.29,74183,Mri abdomen w/o & w/dye,
8.995409091,197.899,553.8173913,63689,4,55,,,,,167,187.895,74183,Mri abdomen w/o & w/dye,
12.49045455,274.79,553.8173913,63689,4,55,,,,,167,197.899,74183,Mri abdomen w/o & w/dye,
13.07454545,287.64,553.8173913,63689,4,55,,,,,167,274.79,74183,Mri abdomen w/o & w/dye,
13.61609091,299.554,553.8173913,63689,4,55,,,,,167,287.64,74183,Mri abdomen w/o & w/dye,
14.18068182,311.975,553.8173913,63689,4,55,,,,,167,299.554,74183,Mri abdomen w/o & w/dye,
14.88803027,327.536666,553.8173913,63689,4,55,,,,,167,311.975,74183,Mri abdomen w/o & w/dye,
19.23409091,423.15,553.8173913,63689,4,55,,,,,167,327.536666,74183,Mri abdomen w/o & w/dye,
20.19590909,444.31,553.8173913,63689,4,55,,,,,167,423.15,74183,Mri abdomen w/o & w/dye,
21.07636364,463.68,553.8173913,63689,4,55,,,,,167,444.31,74183,Mri abdomen w/o & w/dye,
21.73454545,478.16,553.8173913,63689,4,55,,,,,167,463.68,74183,Mri abdomen w/o & w/dye,
2.349772727,51.695,553.8173913,63689,4,55,,,,,167,478.16,74183,Mri abdomen w/o & w/dye,
3.180909091,69.98,553.8173913,63689,4,55,,,,,167,51.695,74183,Mri abdomen w/o & w/dye,
0,0,636.4521739,73192,4,55,,,,,167,69.98,74183,Mri abdomen w/o & w/dye,
6.040681818,132.895,636.4521739,73192,4,55,,,,,168,0,74183,Mri abdomen w/o & w/dye,
8.945454545,196.8,636.4521739,73192,4,55,,,,,168,132.895,74183,Mri abdomen w/o & w/dye,
0.981363636,21.59,636.4521739,73192,4,55,,,,,168,196.8,74183,Mri abdomen w/o & w/dye,
10.78045455,237.17,636.4521739,73192,4,55,,,,,168,21.59,74183,Mri abdomen w/o & w/dye,
11.36363636,250,636.4521739,73192,4,55,,,,,168,237.17,74183,Mri abdomen w/o & w/dye,
12.92863636,284.43,636.4521739,73192,4,55,,,,,168,250,74183,Mri abdomen w/o & w/dye,
1.472045455,32.385,636.4521739,73192,4,55,,,,,168,284.43,74183,Mri abdomen w/o & w/dye,
14.85863636,326.89,636.4521739,73192,4,55,,,,,168,32.385,74183,Mri abdomen w/o & w/dye,
15.06590909,331.45,636.4521739,73192,4,55,,,,,168,326.89,74183,Mri abdomen w/o & w/dye,
15.855,348.81,636.4521739,73192,4,55,,,,,168,331.45,74183,Mri abdomen w/o & w/dye,
18.61681818,409.57,636.4521739,73192,4,55,,,,,168,348.81,74183,Mri abdomen w/o & w/dye,
19.63909091,432.06,636.4521739,73192,4,55,,,,,168,409.57,74183,Mri abdomen w/o & w/dye,
3.032272727,66.71,636.4521739,73192,4,55,,,,,168,432.06,74183,Mri abdomen w/o & w/dye,
3.081818182,67.8,636.4521739,73192,4,55,,,,,168,66.71,74183,Mri abdomen w/o & w/dye,
3.106590909,68.345,636.4521739,73192,4,55,,,,,168,67.8,74183,Mri abdomen w/o & w/dye,
3.180909091,69.98,636.4521739,73192,4,55,,,,,168,68.345,74183,Mri abdomen w/o & w/dye,
51.08681818,1123.91,960.1130435,110413,4,55,,,,,168,69.98,74183,Mri abdomen w/o & w/dye,
7.891666636,173.616666,960.1130435,110413,4,55,,,,,169,1123.91,74183,Mri abdomen w/o & w/dye,
9.759318182,214.705,960.1130435,110413,4,55,,,,,169,173.616666,74183,Mri abdomen w/o & w/dye,
10.36704545,228.075,960.1130435,110413,4,55,,,,,169,214.705,74183,Mri abdomen w/o & w/dye,
11.8375,260.425,960.1130435,110413,4,55,,,,,169,228.075,74183,Mri abdomen w/o & w/dye,
13.10060605,288.213333,960.1130435,110413,4,55,,,,,169,260.425,74183,Mri abdomen w/o & w/dye,
1.544090909,33.97,960.1130435,110413,4,55,,,,,169,288.213333,74183,Mri abdomen w/o & w/dye,
18.10681818,398.35,960.1130435,110413,4,55,,,,,169,33.97,74183,Mri abdomen w/o & w/dye,
18.60090909,409.22,960.1130435,110413,4,55,,,,,169,398.35,74183,Mri abdomen w/o & w/dye,
19.41909091,427.22,960.1130435,110413,4,55,,,,,169,409.22,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,960.1130435,110413,4,55,,,,,169,427.22,74183,Mri abdomen w/o & w/dye,
31.13409091,684.95,960.1130435,110413,4,55,,,,,169,67.94,74183,Mri abdomen w/o & w/dye,
3.238636364,71.25,960.1130435,110413,4,55,,,,,169,684.95,74183,Mri abdomen w/o & w/dye,
3.326818182,73.19,960.1130435,110413,4,55,,,,,169,71.25,74183,Mri abdomen w/o & w/dye,
4.255909091,93.63,960.1130435,110413,4,55,,,,,169,73.19,74183,Mri abdomen w/o & w/dye,
16.52863636,363.63,479.5565217,55149,4,55,,,,,169,93.63,74183,Mri abdomen w/o & w/dye,
18.60090909,409.22,479.5565217,55149,4,55,,,,,171,363.63,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,479.5565217,55149,4,55,,,,,171,409.22,74183,Mri abdomen w/o & w/dye,
7.532954545,165.725,572.1130435,65793,4,55,,,,,171,67.94,74183,Mri abdomen w/o & w/dye,
7.674090909,168.83,572.1130435,65793,4,55,,,,,172,165.725,74183,Mri abdomen w/o & w/dye,
8.81875,194.0125,572.1130435,65793,4,55,,,,,172,168.83,74183,Mri abdomen w/o & w/dye,
10.15898986,223.497777,572.1130435,65793,4,55,,,,,172,194.0125,74183,Mri abdomen w/o & w/dye,
10.17340909,223.815,572.1130435,65793,4,55,,,,,172,223.497777,74183,Mri abdomen w/o & w/dye,
10.17659091,223.885,572.1130435,65793,4,55,,,,,172,223.815,74183,Mri abdomen w/o & w/dye,
10.88363636,239.44,572.1130435,65793,4,55,,,,,172,223.885,74183,Mri abdomen w/o & w/dye,
12.09653409,266.12375,572.1130435,65793,4,55,,,,,172,239.44,74183,Mri abdomen w/o & w/dye,
12.98257573,285.616666,572.1130435,65793,4,55,,,,,172,266.12375,74183,Mri abdomen w/o & w/dye,
13.16439391,289.616666,572.1130435,65793,4,55,,,,,172,285.616666,74183,Mri abdomen w/o & w/dye,
1.516136364,33.355,572.1130435,65793,4,55,,,,,172,289.616666,74183,Mri abdomen w/o & w/dye,
15.06590909,331.45,572.1130435,65793,4,55,,,,,172,33.355,74183,Mri abdomen w/o & w/dye,
16.95454545,373,572.1130435,65793,4,55,,,,,172,331.45,74183,Mri abdomen w/o & w/dye,
17.03181818,374.7,572.1130435,65793,4,55,,,,,172,373,74183,Mri abdomen w/o & w/dye,
17.25863636,379.69,572.1130435,65793,4,55,,,,,172,374.7,74183,Mri abdomen w/o & w/dye,
17.265,379.83,572.1130435,65793,4,55,,,,,172,379.69,74183,Mri abdomen w/o & w/dye,
18.735,412.17,572.1130435,65793,4,55,,,,,172,379.83,74183,Mri abdomen w/o & w/dye,
18.77954545,413.15,572.1130435,65793,4,55,,,,,172,412.17,74183,Mri abdomen w/o & w/dye,
19.33,425.26,572.1130435,65793,4,55,,,,,172,413.15,74183,Mri abdomen w/o & w/dye,
21.47909091,472.54,572.1130435,65793,4,55,,,,,172,425.26,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,572.1130435,65793,4,55,,,,,172,472.54,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,572.1130435,65793,4,55,,,,,172,64.77,74183,Mri abdomen w/o & w/dye,
0,0,981.5391304,112877,4,55,,,,,172,67.94,74183,Mri abdomen w/o & w/dye,
4.73,104.06,981.5391304,112877,4,55,,,,,173,0,74183,Mri abdomen w/o & w/dye,
5.066818182,111.47,981.5391304,112877,4,55,,,,,173,104.06,74183,Mri abdomen w/o & w/dye,
7.439090909,163.66,981.5391304,112877,4,55,,,,,173,111.47,74183,Mri abdomen w/o & w/dye,
8.6375,190.025,981.5391304,112877,4,55,,,,,173,163.66,74183,Mri abdomen w/o & w/dye,
9.060909091,199.34,981.5391304,112877,4,55,,,,,173,190.025,74183,Mri abdomen w/o & w/dye,
0.981363636,21.59,981.5391304,112877,4,55,,,,,173,199.34,74183,Mri abdomen w/o & w/dye,
10.13363636,222.94,981.5391304,112877,4,55,,,,,173,21.59,74183,Mri abdomen w/o & w/dye,
10.89227273,239.63,981.5391304,112877,4,55,,,,,173,222.94,74183,Mri abdomen w/o & w/dye,
11.22397727,246.9275,981.5391304,112877,4,55,,,,,173,239.63,74183,Mri abdomen w/o & w/dye,
11.23893936,247.256666,981.5391304,112877,4,55,,,,,173,246.9275,74183,Mri abdomen w/o & w/dye,
11.57768591,254.70909,981.5391304,112877,4,55,,,,,173,247.256666,74183,Mri abdomen w/o & w/dye,
11.59264205,255.038125,981.5391304,112877,4,55,,,,,173,254.70909,74183,Mri abdomen w/o & w/dye,
11.91207791,262.065714,981.5391304,112877,4,55,,,,,173,255.038125,74183,Mri abdomen w/o & w/dye,
12.11931818,266.625,981.5391304,112877,4,55,,,,,173,262.065714,74183,Mri abdomen w/o & w/dye,
14.0275,308.605,981.5391304,112877,4,55,,,,,173,266.625,74183,Mri abdomen w/o & w/dye,
1.472045455,32.385,981.5391304,112877,4,55,,,,,173,308.605,74183,Mri abdomen w/o & w/dye,
14.62727273,321.8,981.5391304,112877,4,55,,,,,173,32.385,74183,Mri abdomen w/o & w/dye,
14.83,326.26,981.5391304,112877,4,55,,,,,173,321.8,74183,Mri abdomen w/o & w/dye,
14.87954545,327.35,981.5391304,112877,4,55,,,,,173,326.26,74183,Mri abdomen w/o & w/dye,
16.19181818,356.22,981.5391304,112877,4,55,,,,,173,327.35,74183,Mri abdomen w/o & w/dye,
17.17909091,377.94,981.5391304,112877,4,55,,,,,173,356.22,74183,Mri abdomen w/o & w/dye,
17.265,379.83,981.5391304,112877,4,55,,,,,173,377.94,74183,Mri abdomen w/o & w/dye,
17.28409091,380.25,981.5391304,112877,4,55,,,,,173,379.83,74183,Mri abdomen w/o & w/dye,
18.61681818,409.57,981.5391304,112877,4,55,,,,,173,380.25,74183,Mri abdomen w/o & w/dye,
