cost,discharge,quality,quality_care,quality_efficiency,patexp,outcome,provider_id,provider
0.610436276,665,0.5255,0.2875,0.8,0.56,0.466666667,340133,MARTIN GENERAL HOSPITAL
0.265361634,666,0.430222222,0.311111111,0.3,0.56,0.466666667,240040,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS
0.272954364,666,0.445444444,0.622222222,0.1,0.67,0.333333333,140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER
0.30288718,666,0.399666667,0.333333333,0.1,0.51,0.533333333,490111,WYTHE COUNTY COMMUNITY HOSPITAL
0.029060208,667,0.274444444,0.422222222,0,0.2,0.433333333,390052,CLEARFIELD HOSPITAL
0.69493927,668,0.495590909,0.745454545,0.3,0.38,0.575,50291,SUTTER SANTA ROSA REGIONAL HOSPITAL
0.168456292,669,0.656,0.8,0.4,0.72,0.666666667,150065,SCHNECK MEDICAL CENTER
0.797676974,669,0.292,0.57,0.1,0.16,0.366666667,390070,LOWER BUCKS HOSPITAL
0.581926161,672,0.511444444,0.522222222,1,0.24,0.45,20026,ALASKA NATIVE MEDICAL CENTER
0.622301435,672,0.555444444,0.722222222,0.9,0.27,0.5,50417,SUTTER COAST HOSPITAL
0.141529033,673,0.427777778,0.488888889,0.3,0.4,0.5,370020,MERCY HOSPITAL ADA
0.355716765,673,0.596333333,0.766666667,0.8,0.61,0.333333333,380071,WILLAMETTE VALLEY MEDICAL CENTER
0.863165133,673,0.264,0.3,0,0.28,0.4,450395,MEMORIAL MEDICAL CENTER LIVINGSTON
0.065293323,677,0.333666667,0.533333333,0.2,0.39,0.233333333,230037,HILLSDALE COMMUNITY HEALTH CENTER
0.857140058,678,0.419,0.7,0,0.23,0.7,100288,ST MARY'S MEDICAL CENTER
0.434813692,683,0.335,0.34,0.6,0.24,0.25,60011,DENVER HEALTH MEDICAL CENTER
0.044366092,684,0.413222222,0.511111111,0.6,0.27,0.366666667,330074,F F THOMPSON HOSPITAL
0.299184261,685,0.3475,0.65,0,0.2,0.525,180019,MEADOWVIEW REGIONAL MEDICAL CENTER
0.990038257,685,0.349222222,0.811111111,0.2,0.19,0.3,50194,WATSONVILLE COMMUNITY HOSPITAL
0.105535669,686,0.408055556,0.477777778,0.4,0.4,0.375,440081,LECONTE MEDICAL CENTER
0.186310357,688,0.675444444,0.722222222,0.6,0.77,0.6,520091,HOWARD YOUNG MEDICAL CTR
0.311882162,689,0.194666667,0.233333333,0.1,0.36,0.066666667,70008,JOHNSON MEMORIAL HOSPITAL
0.440426974,690,0.291555556,0.277777778,0,0.42,0.366666667,110046,CLEARVIEW  REGIONAL MEDICAL CENTER
0.161203867,692,0.363333333,0.266666667,0.2,0.3,0.6,370218,"SAINT FRANCIS HOSPITAL SOUTH, LLC"
0.558441772,692,0.268181818,0.590909091,0,0.3,0.2,150047,ST JOSEPH HOSPITAL
0.821232362,694,0.307555556,0.477777778,0,0.14,0.566666667,100291,WUESTHOFF MEDICAL CENTER - MELBOURNE
0.100498303,695,0.459777778,0.588888889,0.3,0.39,0.55,470024,NORTHWESTERN MEDICAL CENTER INC
0.217949507,695,0.541181818,0.390909091,0.1,0.51,0.966666667,190202,OCHSNER MEDICAL CENTER - BATON ROUGE
0.732294618,695,0.437,0.57,0.4,0.46,0.35,290032,NORTHERN NEVADA MEDICAL CENTER
0.757496757,699,0.379777778,0.588888889,0.5,0.24,0.3,320063,CARLSBAD MEDICAL CENTER
0.985170858,699,0.389,0.9,0,0.23,0.466666667,310040,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER
0.45861318,701,0.356888889,0.544444444,0,0.56,0.266666667,670044,TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL
0.054753216,702,0.536,0.52,0.3,0.54,0.7,520045,THEDA CLARK MEDICAL CENTER
0.165795146,703,0.367555556,0.477777778,0.2,0.44,0.333333333,360080,EAST OHIO REGIONAL HOSPITAL
0.137319785,704,0.440555556,0.577777778,0.3,0.55,0.333333333,240088,RICE MEMORIAL HOSPITAL
0.03597909,707,0.299,0.4,0,0.43,0.3,390037,HERITAGE VALLEY SEWICKLEY
0.099241609,708,0.450111111,0.855555556,0.9,0.23,0.1,110104,CRISP REGIONAL HOSPITAL
0.536131356,709,0.2555,0.64,0,0.3,0.125,440197,TRISTAR SOUTHERN HILLS MEDICAL CENTER
0.209014808,712,0.491444444,0.322222222,0.3,0.79,0.433333333,110002,UPSON REGIONAL MEDICAL CENTER
0.088866661,713,0.454333333,0.666666667,0.7,0.27,0.333333333,240043,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA
0.735053722,714,0.606277778,0.888888889,0.2,0.62,0.675,100125,HOMESTEAD HOSPITAL
0.930195396,716,0.316333333,0.366666667,0,0.46,0.35,450659,PARK PLAZA HOSPITAL
0.111994134,717,0.518590909,0.845454545,0.3,0.59,0.375,520009,ST ELIZABETH HOSPITAL
0.602607775,718,0.610857143,0.814285714,0.5,0.71,0.45,340106,SANDHILLS REGIONAL MEDICAL CENTER
0.717546525,720,0.478111111,0.755555556,0.3,0.39,0.5,150133,KOSCIUSKO COMMUNITY HOSPITAL
0.286553686,720,0.434666667,0.333333333,0.4,0.46,0.5,110150,OCONEE REGIONAL MEDICAL CENTER
0.371289007,720,0.609222222,0.511111111,0.9,0.39,0.7,380025,LEGACY MOUNT HOOD MEDICAL CENTER
0.544355383,721,0.254555556,0.377777778,0.2,0.33,0.133333333,420038,GHS  LAURENS COUNTY MEMORIAL HOSPITAL
0.270866092,723,0.484166667,0.633333333,0.1,0.55,0.575,140026,ST MARYS HOSPITAL
0.343868123,725,0.348727273,0.463636364,0.2,0.22,0.5,450289,HARRIS HEALTH SYSTEM
0.797977693,726,0.423,1,0.2,0.46,0.15,250123,GARDEN PARK MEDICAL CENTER
0.762248005,728,0.244111111,0.555555556,0,0.11,0.333333333,50211,ALAMEDA HOSPITAL
0.247586496,729,0.397611111,0.455555556,0.4,0.43,0.325,270023,COMMUNITY MEDICAL CENTER
0.478216475,729,0.405888889,0.844444444,0,0.44,0.35,100200,BROWARD HEALTH IMPERIAL POINT
0.618733253,729,0.398444444,0.522222222,0.3,0.28,0.5,340144,DAVIS REGIONAL MEDICAL CENTER
0.951489476,730,0.392222222,0.511111111,0,0.5,0.466666667,50506,SIERRA VISTA REGIONAL MEDICAL CENTER
0.359565037,731,0.583777778,0.688888889,0.4,0.42,0.8,130014,WEST VALLEY MEDICAL CENTER
0.622298705,732,0.407555556,0.677777778,0,0.64,0.266666667,150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL
0.697964027,733,0.445555556,0.277777778,0.7,0.3,0.533333333,50042,ST ELIZABETH COMMUNITY HOSPITAL
0.881682237,733,0.466,1,0.1,0.37,0.45,60065,NORTH SUBURBAN MEDICAL CENTER
0.318249518,734,0.374777778,0.388888889,0.3,0.34,0.45,30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS
0.224506669,736,0.561222222,0.511111111,0.9,0.48,0.45,390138,WAYNESBORO HOSPITAL
0.378077646,737,0.405,0.87,0,0.42,0.35,280132,BELLEVUE MEDICAL CENTER DBA NEBRASKA MEDICINE-BELL
0.82979362,739,0.407454545,0.727272727,0,0.14,0.733333333,450688,DALLAS REGIONAL MEDICAL CENTER
0.809204393,740,0.517181818,0.490909091,0.6,0.23,0.766666667,20017,ALASKA REGIONAL HOSPITAL
0.39260034,742,0.514,0.36,0.4,0.54,0.666666667,60013,MERCY REGIONAL MEDICAL CENTER
0.433727175,743,0.351,0.76,0,0.33,0.333333333,460042,LAKEVIEW HOSPITAL
0.014381229,745,0.310555556,0.377777778,0.1,0.25,0.466666667,360175,CLINTON MEMORIAL HOSPITAL
0.786476776,745,0.364,0.48,0.2,0.21,0.55,100150,LOWER KEYS MEDICAL CENTER
0.678821074,745,0.305333333,0.066666667,0.1,0.24,0.666666667,50575,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER
0.615192667,747,0.3525,0.51,0,0.26,0.575,670031,ST LUKE'S PATIENTS MEDICAL CENTER
0.243009455,749,0.4205,0.7125,0,0.46,0.466666667,220030,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS
0.391810865,749,0.380666667,0.433333333,0.3,0.58,0.2,230121,MEMORIAL HEALTHCARE
0.032266191,750,0.532,0.125,0.9,0.49,0.6,180021,PINEVILLE COMMUNITY HOSPITAL
0.045793747,751,0.582555556,0.277777778,0.4,0.49,1,490114,WELLMONT LONESOME PINE HOSPITAL
0.222752348,751,0.434388889,0.544444444,0.3,0.41,0.475,70004,SHARON HOSPITAL
0.34098866,753,0.379,0.58,0.1,0.31,0.5,460051,JORDAN VALLEY MEDICAL CENTER
0.171504028,754,0.258222222,0.511111111,0,0.27,0.25,510039,OHIO VALLEY MEDICAL CENTER
0.199105342,754,0.532777778,0.788888889,0.5,0.75,0.166666667,250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY
0.539647611,755,0.404888889,0.344444444,0.6,0.32,0.4,420055,CAROLINAS HOSPITAL SYSTEM MARION
0.949902168,755,0.294777778,0.588888889,0,0.34,0.25,50735,WHITTIER HOSPITAL MEDICAL CENTER
0.437343936,756,0.3895,0.68,0,0.52,0.325,670082,BAYLOR MEDICAL CENTER AT MCKINNEY
0.172200318,757,0.354888889,0.344444444,0.1,0.42,0.466666667,370113,INTEGRIS GROVE HOSPITAL
0.491236834,757,0.296,0.66,0,0.38,0.166666667,440227,TRISTAR STONECREST MEDICAL CENTER
0.084360423,758,0.4345,0.6,0.5,0.34,0.375,330030,NEWARK-WAYNE COMMUNITY HOSPITAL
0.069681292,761,0.357222222,0.711111111,0,0.55,0.166666667,220065,NOBLE HOSPITAL
0.455672364,761,0.584111111,0.755555556,0.2,0.61,0.7,230217,OAKLAWN HOSPITAL
0.967221314,763,0.457909091,0.654545455,0,0.54,0.55,50689,SAN RAMON REGIONAL MEDICAL CTR
0.52399095,765,0.2855,0.07,0,0.23,0.675,450330,OAKBEND MEDICAL CENTER
0.344656748,766,0.485777778,0.588888889,0.6,0.36,0.466666667,110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC
0.297324104,768,0.318555556,0.677777778,0,0.21,0.4,520059,AURORA MEMORIAL HOSPITAL BURLINGTON
0.989000801,768,0.240444444,0.322222222,0,0.22,0.366666667,50118,DOCTORS HOSPITAL OF MANTECA
0.020181259,770,0.310222222,0.411111111,0.3,0.21,0.35,330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER
0.51947432,772,0.378222222,0.511111111,0.1,0.52,0.333333333,450148,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE
0.710090685,774,0.482,0.8,0.3,0.44,0.433333333,10049,MEDICAL CENTER ENTERPRISE
0.290232456,775,0.432888889,0.644444444,0,0.68,0.333333333,150097,MAJOR HOSPITAL
0.067721768,778,0.546666667,0.733333333,0.3,0.8,0.333333333,230259,ST JOSEPH MERCY CHELSEA
0.386347608,780,0.301,0.42,0.2,0.29,0.3,270017,ST JAMES HEALTHCARE
0.239218683,784,0.549,0.67,0.5,0.45,0.6,110230,EMORY JOHNS CREEK HOSPITAL
0.303047696,784,0.439777778,0.888888889,0,0.44,0.433333333,520102,AURORA LAKELAND MEDICAL CENTER
0.433042524,785,0.341681818,0.590909091,0,0.17,0.575,460005,OGDEN REGIONAL MEDICAL CENTER
0.426622066,787,0.365333333,0.366666667,0.2,0.44,0.4,490001,NORTON COMMUNITY HOSPITAL
0.447646001,792,0.491,0.6,0.6,0.37,0.466666667,370006,PONCA CITY MEDICAL CENTER
0.656903451,794,0.368277778,0.788888889,0.1,0.51,0.125,10012,DEKALB REGIONAL MEDICAL CENTER
0.734907157,794,0.349111111,0.455555556,0,0.36,0.5,450447,NAVARRO REGIONAL HOSPITAL
0.236907126,799,0.457444444,0.822222222,0.4,0.51,0.2,520035,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR
0.491164665,800,0.475333333,0.366666667,0.8,0.34,0.466666667,50301,UKIAH VALLEY MEDICAL CENTER
0.478134066,800,0.279,0.54,0,0.42,0.15,500152,SWEDISH ISSAQUAH
0.086397325,802,0.448,0.36,0,0.52,0.733333333,450236,HOPKINS COUNTY MEMORIAL HOSPITAL
0.02392785,803,0.456,0.7,0.7,0.32,0.266666667,330058,GENEVA GENERAL HOSPITAL
0.034163719,803,0.456333333,0.566666667,0.2,0.61,0.4,220019,HARRINGTON MEMORIAL HOSPITAL
0.71912145,804,0.479,0.89,0.2,0.35,0.52,110008,NORTHSIDE HOSPITAL CHEROKEE
0.808460064,806,0.310444444,0.622222222,0,0.32,0.3,390197,SACRED HEART HOSPITAL
0.644064421,809,0.324,1,0,0.08,0.333333333,50526,HUNTINGTON BEACH HOSPITAL
0.556600172,809,0.200111111,0.155555556,0,0.03,0.533333333,90008,UNITED MEDICAL CENTER
0.288515065,815,0.524333333,0.866666667,0.4,0.47,0.433333333,430012,AVERA SACRED HEART HOSPITAL
0.395712208,816,0.485,0.45,0.3,0.75,0.366666667,520028,THE MONROE CLINIC
0.75509911,818,0.451333333,0.666666667,0,0.56,0.5,450656,NACOGDOCHES MEDICAL CENTER
0.772762632,822,0.527,0.75,1,0.34,0.25,20006,MAT-SU REGIONAL MEDICAL CENTER
0.274951398,822,0.3975,0.51,0.3,0.41,0.375,170006,VIA CHRISTI HOSPITAL PITTSBURG INC
0.292795623,824,0.456,0.87,0,0.29,0.65,490141,SPOTSYLVANIA REGIONAL MEDICAL CENTER
0.478857444,825,0.364222222,0.211111111,0.4,0.34,0.466666667,320022,PLAINS REGIONAL MEDICAL CENTER
0.923380694,825,0.3075,0.8,0.1,0.3,0.125,310021,ST FRANCIS MEDICAL CENTER
0.110295295,829,0.485666667,0.233333333,0.5,0.53,0.6,340016,HARRIS REGIONAL HOSPITAL
0.418558087,831,0.488555556,0.677777778,0.5,0.51,0.333333333,330049,NORTHERN DUTCHESS HOSPITAL
0.191341046,833,0.432777778,0.588888889,0.6,0.2,0.45,330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER
0.506543046,835,0.239666667,0.133333333,0.1,0.21,0.433333333,450347,HUNTSVILLE MEMORIAL HOSPITAL
0.13927447,836,0.430888889,0.444444444,0.1,0.34,0.733333333,230055,DICKINSON COUNTY MEMORIAL HOSPITAL
0.526690034,836,0.316227273,0.463636364,0,0.22,0.525,360151,AFFINITY MEDICAL CENTER
0.120423698,842,0.424222222,0.711111111,0,0.64,0.3,150037,HANCOCK REGIONAL HOSPITAL
0.294533962,843,0.327333333,0.366666667,0,0.48,0.366666667,280032,MARY LANNING HEALTHCARE
0.110785845,845,0.472444444,0.222222222,0.6,0.46,0.566666667,230239,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL
0.253870839,846,0.562636364,0.818181818,0.2,0.53,0.666666667,520193,AURORA BAYCARE MEDICAL CTR
0.368784356,846,0.299666667,0.233333333,0,0.31,0.533333333,440151,RIVER PARK HOSPITAL
0.827656804,847,0.387,0.6,0.4,0.19,0.433333333,390220,JENNERSVILLE REGIONAL HOSPITAL
0.951625881,850,0.301,0.49,0.1,0.25,0.36,50534,JOHN F KENNEDY MEMORIAL HOSPITAL
0.937528392,852,0.405388889,0.444444444,0,0.28,0.775,50281,ALHAMBRA HOSPITAL MEDICAL CENTER
0.072706447,852,0.461333333,0.366666667,0.3,0.66,0.433333333,340023,PARK RIDGE HEALTH
0.480274511,853,0.5235,0.8,0.1,0.47,0.675,100055,FLORIDA HOSPITAL NORTH PINELLAS
0.75193988,853,0.311,0.54,0.1,0.27,0.34,670060,TEXAS REGIONAL MEDICAL CENTER AT SUNNYVALE
0.180064311,859,0.241111111,0.155555556,0.1,0.3,0.333333333,110124,WAYNE MEMORIAL HOSPITAL
0.178481377,860,0.334666667,0.633333333,0,0.36,0.333333333,180087,TAYLOR REGIONAL HOSPITAL
0.848733818,861,0.327,0.64,0.2,0.28,0.25,290005,NORTH VISTA HOSPITAL
0.143943722,862,0.325,0.4,0.1,0.45,0.3,470001,CENTRAL VERMONT MEDICAL CENTER
0.207471072,862,0.426,0.6,0.1,0.42,0.533333333,410006,NEWPORT HOSPITAL
0.687443516,863,0.372166667,0.633333333,0.2,0.21,0.475,100124,SANTA ROSA MEDICAL CENTER
0.747158055,863,0.381777778,0.588888889,0.3,0.28,0.4,50342,PIONEERS MEMORIAL HEALTHCARE DISTRICT
0.518366237,867,0.559777778,0.788888889,0,0.84,0.5,100315,VIERA HOSPITAL
0.070407711,867,0.384,0.3,0.1,0.68,0.333333333,100142,JACKSON HOSPITAL
0.463911179,867,0.244,0.29,0,0.32,0.3,450508,MEMORIAL HOSPITAL
0.258037052,868,0.410055556,0.277777778,0.1,0.34,0.775,410001,MEMORIAL HOSPITAL OF RHODE ISLAND
0.397921186,869,0.405636364,0.618181818,0.3,0.09,0.65,330204,BELLEVUE HOSPITAL CENTER
0.360867467,871,0.479111111,0.555555556,0.2,0.76,0.333333333,140234,ILLINOIS VALLEY COMMUNITY HOSPITAL
0.038869932,872,0.354,0.2,0.7,0.18,0.4,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL
0.211176319,875,0.324555556,0.977777778,0,0.33,0.1,340041,CALDWELL MEMORIAL HOSPITAL
0.88025123,876,0.251777778,0.288888889,0.2,0.18,0.333333333,250122,NATCHEZ COMMUNITY HOSPITAL
0.822235291,877,0.285611111,0.355555556,0,0.19,0.525,50740,MARINA DEL REY HOSPITAL
0.418551491,878,0.341181818,0.490909091,0.2,0.41,0.266666667,380007,LEGACY EMANUEL MEDICAL CENTER
0.697142977,881,0.195666667,0.133333333,0,0.13,0.433333333,140240,WESTLAKE COMMUNITY HOSPITAL
0.631000308,882,0.445444444,0.422222222,0.3,0.37,0.633333333,330135,BON SECOURS COMMUNITY HOSPITAL
0.110640244,885,0.222166667,0.433333333,0.1,0.31,0.075,180005,HIGHLANDS REGIONAL MEDICAL CENTER
0.681475428,887,0.356909091,0.454545455,0.1,0.37,0.45,370016,INTEGRIS BASS BAPTIST HEALTH CENTER
0.371841844,887,0.428777778,0.388888889,0,0.62,0.55,360087,LUTHERAN HOSPITAL
0.437153592,888,0.237,0.39,0.3,0.33,0,190020,LANE REGIONAL MEDICAL CENTER
0.967667917,888,0.332555556,0.877777778,0,0.19,0.333333333,50152,SAINT FRANCIS MEMORIAL HOSPITAL
0.302617343,891,0.488333333,0.466666667,0.2,0.75,0.433333333,300014,FRISBIE MEMORIAL HOSPITAL
0.224106213,892,0.608333333,0.766666667,0.4,0.65,0.6,340097,HUGH CHATHAM MEMORIAL HOSPITAL
0.020041603,895,0.496,0.47,0,0.79,0.55,10065,RUSSELL HOSPITAL
0.53929738,897,0.447272727,0.536363636,0.5,0.34,0.46,120002,MAUI MEMORIAL MEDICAL CENTER
0.062998234,898,0.539181818,0.890909091,0.2,0.59,0.48,170197,KANSAS MEDICAL CENTER LLC
0.203653286,898,0.434111111,0.755555556,0.5,0.41,0.2,10036,ANDALUSIA REGIONAL HOSPITAL
0.696862717,899,0.248,0.275,0,0.21,0.433333333,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER
0.401299564,903,0.513555556,0.677777778,0,0.56,0.7,70019,"MILFORD HOSPITAL, INC"
0.192232551,905,0.325555556,0.377777778,0,0.5,0.333333333,450104,GUADALUPE REGIONAL MEDICAL CENTER
0.961248158,905,0.360909091,0.654545455,0.2,0.3,0.333333333,50122,DAMERON HOSPITAL
0.460215253,906,0.422,0.79,0,0.43,0.45,390328,UPMC EAST
0.470678192,906,0.367555556,0.777777778,0.3,0.34,0.166666667,440187,LIVINGSTON REGIONAL HOSPITAL
0.091974615,907,0.565,0.63,0.4,0.73,0.466666667,440025,"LAUGHLIN MEMORIAL HOSPITAL, INC"
0.41478307,908,0.463444444,0.822222222,0,0.53,0.466666667,450272,CENTRAL TEXAS MEDICAL CENTER
0.482038603,910,0.301,0.4,0,0.47,0.266666667,280077,FREMONT HEALTH MEDICAL CENTER
0.590286142,910,0.276222222,0.511111111,0.3,0.38,0,500139,CAPITAL MEDICAL CENTER
0.677670327,910,0.299055556,0.377777778,0.3,0.12,0.425,100302,ST CLOUD REGIONAL MEDICAL CENTER
0.466607512,915,0.415,1,0.1,0.25,0.4,250093,BOLIVAR MEDICAL CENTER
0.010601846,917,0.255444444,0.022222222,0.5,0.27,0.233333333,230095,WEST BRANCH REGIONAL MEDICAL CENTER
0.475053457,917,0.2825,0.79,0,0.19,0.225,450730,BAYLOR MEDICAL CENTER AT CARROLLTON
0.266166951,918,0.464,1,0.3,0.48,0.2,390304,ROXBOROUGH MEMORIAL HOSPITAL
0.250836052,919,0.169333333,0.266666667,0,0.22,0.166666667,390194,GNADEN HUETTEN MEMORIAL HOSPITAL
0.796939987,921,0.397666667,0.533333333,0.1,0.57,0.333333333,140040,GALESBURG COTTAGE HOSPITAL
0.236275655,922,0.448222222,0.711111111,0,0.52,0.5,300019,CHESHIRE MEDICAL CENTER
