Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,Kansas City,MO,64108,JACKSON,54,10.8,34,10.2,30,9,50,10,40,"2301 HOLMES STREET
Kansas City, MO 64108
(39.084207, -94.575825)"
260064,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,620 E MONROE,Mexico,MO,65265-2919,AUDRAIN,32,6.4,51,15.3,20,6,60,12,39.7,"620 E MONROE
Mexico, MO 65265-2919
(39.172921, -91.877163)"
260065,MERCY HOSPITAL SPRINGFIELD,1235 E CHEROKEE,Springfield,MO,65804-2203,GREENE,59.09090909,11.81818182,42,12.6,58,17.4,30,6,47.81818182,"1235 E CHEROKEE
Springfield, MO 65804-2203
(37.178174, -93.275861)"
260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,Lees Summit,MO,64063-1007,JACKSON,86,17.2,55,16.5,0,0,10,2,35.7,"2100 SE BLUE PARKWAY
Lees Summit, MO 64063-1007
(38.902017, -94.323381)"
260142,FITZGIBBON HOSPITAL,2305 S 65 HIGHWAY,Marshall,MO,65340-0250,SALINE,56.66666667,11.33333333,37,11.1,26.66666667,8,60,12,42.43333333,"2305 S 65 HIGHWAY
Marshall, MO 65340-0250
"
260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,Saint Louis,MO,63131-2329,ST. LOUIS,70,14,32,9.6,66,19.8,20,4,47.4,"3015 N BALLAS RD
Saint Louis, MO 63131-2329
(38.636491, -90.443638)"
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,Clinton,MO,64735-1192,HENRY,57.77777778,11.55555556,63,18.9,23.33333333,7,40,8,45.45555556,"1600 N 2ND ST
Clinton, MO 64735-1192
(38.391389, -93.770506)"
250085,MARION GENERAL HOSPITAL,1560 SUMRALL RD,Columbia,MS,39429,MARION,,,22,8.25,60,22.5,50,12.5,43.25,"1560 SUMRALL RD
Columbia, MS 39429
(31.257234, -89.806253)"
250050,OCH REGIONAL MEDICAL CENTER,400 HOSPITAL ROAD,Starkville,MS,39759,OKTIBBEHA,38.88888889,7.777777778,80,24,35,10.5,0,0,42.27777778,"400 HOSPITAL ROAD
Starkville, MS 39759
(33.47497, -88.820308)"
280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,Hastings,NE,68901,ADAMS,36.66666667,7.333333333,48,14.4,36.66666667,11,0,0,32.73333333,"715 N ST JOSEPH AVE
Hastings, NE 68901
(40.591713, -98.388144)"
250019,MEMORIAL HOSPITAL AT GULFPORT,4500 13TH ST-P O BOX 1810,Gulfport,MS,39502,HARRISON,28.18181818,5.636363636,47,14.1,40,12,0,0,31.73636364,"4500 13TH ST-P O BOX 1810
Gulfport, MS 39502
"
260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,Lake Saint Louis,MO,63367,ST. CHARLES,67,13.4,50,15,54,16.2,20,4,48.6,"100 MEDICAL PLAZA
Lake Saint Louis, MO 63367
(38.803075, -90.774729)"
280105,CHI HEALTH MIDLANDS,11111 SOUTH 84TH ST,Papillion,NE,68046,SARPY,86,17.2,55,16.5,46.66666667,14,0,0,47.7,"11111 SOUTH 84TH ST
Papillion, NE 68046
(41.137517, -96.042918)"
280060,CHI HEALTH BERGAN MERCY,7500 MERCY RD,Omaha,NE,68124,DOUGLAS,80.90909091,16.18181818,44,13.2,52,15.6,0,0,44.98181818,"7500 MERCY RD
Omaha, NE 68124
(41.237927, -96.032024)"
290021,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,Las Vegas,NV,89106,CLARK,27.27272727,5.454545455,16,4.8,16,4.8,0,0,15.05454545,"620 SHADOW LANE
Las Vegas, NV 89106
(36.162575, -115.165476)"
290003,SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,Las Vegas,NV,89109,CLARK,72.72727273,14.54545455,11,3.3,60,18,0,0,35.84545455,"3186 S MARYLAND PKWY
Las Vegas, NV 89109
(36.131699, -115.13688)"
260078,OZARKS MEDICAL CENTER,1100 KENTUCKY AVE,West Plains,MO,65775-2029,HOWELL,42,8.4,49,14.7,17.5,5.25,80,16,44.35,"1100 KENTUCKY AVE
West Plains, MO 65775-2029
(36.737988, -91.875552)"
410010,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,Providence,RI,2905,PROVIDENCE,66,13.2,18,5.4,60,18,10,2,38.6,"101 DUDLEY STREET
Providence, RI 02905
(41.810239, -71.411209)"
410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,Warwick,RI,2886,KENT,28.88888889,5.777777778,28,8.4,38,11.4,20,4,29.57777778,"455 TOLL GATE RD
Warwick, RI 02886
(41.704478, -71.477902)"
410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,Providence,RI,2902,PROVIDENCE,48.18181818,9.636363636,37,11.1,50,15,0,0,35.73636364,"593 EDDY STREET
Providence, RI 02902
(41.812124, -71.40704)"
410012,MIRIAM HOSPITAL,164 SUMMIT AVENUE,Providence,RI,2906,PROVIDENCE,48,9.6,48,14.4,68,20.4,0,0,44.4,"164 SUMMIT AVENUE
Providence, RI 02906
(41.851723, -71.397517)"
420020,GEORGETOWN MEMORIAL HOSPITAL,606 BLACK RIVER RD DRAWER 1718,Georgetown,SC,29440,GEORGETOWN,46,9.2,38,11.4,42.5,12.75,30,6,39.35,"606 BLACK RIVER RD DRAWER 1718
Georgetown, SC 29440
(33.379938, -79.285723)"
420011,CANNON MEMORIAL HOSPITAL,123 MEDICAL PARK DRIVE PO BOX 188,Pickens,SC,29671,PICKENS,70,14,43,12.9,40,12,0,0,38.9,"123 MEDICAL PARK DRIVE PO BOX 188
Pickens, SC 29671
"
420072,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,Varnville,SC,29944,HAMPTON,37.14285714,10.6122449,69,29.57142857,,,70,20,60.18367347,"595 WEST CAROLINA AVENUE
Varnville, SC 29944
(32.855107, -81.087473)"
420027,ANMED HEALTH,800 N FANT ST,Anderson,SC,29621,ANDERSON,79.09090909,15.81818182,44,13.2,54,16.2,0,0,45.21818182,"800 N FANT ST
Anderson, SC 29621
(34.511071, -82.647355)"
450586,SEYMOUR HOSPITAL,200 STADIUM DRIVE,Seymour,TX,76380,BAYLOR,,,,,50,30,10,4,34,"200 STADIUM DRIVE
Seymour, TX 76380
(33.589277, -99.247505)"
450825,CORNERSTONE REGIONAL HOSPITAL,2302 CORNERSTONE BOULEVARD,Edinburg,TX,78539,HIDALGO,78,22.28571429,52,22.28571429,,,60,17.14285714,61.71428571,"2302 CORNERSTONE BOULEVARD
Edinburg, TX 78539
(26.262919, -98.201101)"
390194,GNADEN HUETTEN MEMORIAL HOSPITAL,211 NORTH 12TH STREET,Lehighton,PA,18235,CARBON,26.66666667,5.333333333,22,6.6,16.66666667,5,0,0,16.93333333,"211 NORTH 12TH STREET
Lehighton, PA 18235
(40.831391, -75.726658)"
390079,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,Sayre,PA,18840,BRADFORD,26.36363636,5.272727273,26,7.8,78,23.4,50,10,46.47272727,"ONE GUTHRIE SQUARE
Sayre, PA 18840
"
390067,PINNACLE HEALTH HOSPITALS,409 SOUTH SECOND STREET,Harrisburg,PA,17105,DAUPHIN,80.90909091,16.18181818,47,14.1,40,12,10,2,44.28181818,"409 SOUTH SECOND STREET
Harrisburg, PA 17105
(40.229944, -76.83211)"
390220,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,West Grove,PA,19390,CHESTER,60,12,19,5.7,43.33333333,13,40,8,38.7,"1015 WEST BALTIMORE PIKE
West Grove, PA 19390
(39.822837, -75.887059)"
390032,ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE ST,Natrona,PA,15065,ALLEGHENY,50,10,24,7.2,44,13.2,0,0,30.4,"1301 CARLISLE ST
Natrona, PA 15065
(40.617196, -79.737562)"
390185,LEHIGH VALLEY HOSPITAL - HAZLETON,700 EAST BROAD STREET,Hazleton,PA,18201,LUZERNE,95.55555556,19.11111111,19,5.7,70,21,0,0,45.81111111,"700 EAST BROAD STREET
Hazleton, PA 18201
(40.950464, -75.963454)"
390145,EXCELA HEALTH WESTMORELAND HOSPITAL,532 WEST PITTSBURGH STREET,Greensburg,PA,15601,WESTMORELAND,50,10,33,9.9,30,9,0,0,28.9,"532 WEST PITTSBURGH STREET
Greensburg, PA 15601
(40.301281, -79.555472)"
390157,OHIO VALLEY GENERAL HOSPITAL,25 HECKEL ROAD,Mckees Rocks,PA,15136,ALLEGHENY,40,8,27,8.1,53.33333333,16,10,2,34.1,"25 HECKEL ROAD
Mckees Rocks, PA 15136
(40.471782, -80.091749)"
390133,LEHIGH VALLEY HOSPITAL,1200 SOUTH CEDAR CREST BOULVARD,Allentown,PA,18105,LEHIGH,56.36363636,11.27272727,40,12,44,13.2,0,0,36.47272727,"1200 SOUTH CEDAR CREST BOULVARD
Allentown, PA 18105
(40.622901, -75.43604)"
380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,Grants Pass,OR,97527,JOSEPHINE,56.66666667,11.33333333,20,6,50,15,60,12,44.33333333,"500 SW RAMSEY AVENUE
Grants Pass, OR 97527
"
380033,SACRED HEART UNIVERSITY DISTRICT,1255 HILYARD STREET,Eugene,OR,97401,LANE,,,27,10.125,55,20.625,90,22.5,53.25,"1255 HILYARD STREET
Eugene, OR 97401
(44.045405, -123.082107)"
390151,CHAMBERSBURG HOSPITAL,112 NORTH SEVENTH STREET,Chambersburg,PA,17201,FRANKLIN,49,9.8,30,9,60,18,40,8,44.8,"112 NORTH SEVENTH STREET
Chambersburg, PA 17201
(39.934915, -77.647451)"
390142,ALBERT EINSTEIN MEDICAL CENTER,5501 OLD YORK ROAD,Philadelphia,PA,19141,PHILADELPHIA,56.36363636,11.27272727,32,9.6,32,9.6,0,0,30.47272727,"5501 OLD YORK ROAD
Philadelphia, PA 19141
(40.037127, -75.144679)"
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,Langhorne,PA,19047,BUCKS,75.45454545,15.09090909,40,12,58,17.4,0,0,44.49090909,"LANGHORNE-NEWTOWN RD
Langhorne, PA 19047
"
370032,DEACONESS HOSPITAL,5501 NORTH PORTLAND AVENUE,Oklahoma City,OK,73112,OKLAHOMA,57.27272727,11.45454545,27,8.1,55,16.5,0,0,36.05454545,"5501 NORTH PORTLAND AVENUE
Oklahoma City, OK 73112
(35.525314, -97.583433)"
370206,OKLAHOMA SPINE HOSPITAL,14101 PARKWAY COMMONS DRIVE,Oklahoma City,OK,73134,OKLAHOMA,,,99,59.4,,,30,12,71.4,"14101 PARKWAY COMMONS DRIVE
Oklahoma City, OK 73134
(35.615067, -97.582644)"
380089,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,Tualatin,OR,97062,WASHINGTON,66,13.2,48,14.4,37.5,11.25,60,12,50.85,"19300 SW 65TH AVENUE
Tualatin, OR 97062
(45.381265, -122.743929)"
380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,Medford,OR,97504,JACKSON,52.72727273,10.54545455,22,6.6,52,15.6,50,10,42.74545455,"2825 E BARNETT ROAD
Medford, OR 97504
(42.316483, -122.830443)"
360151,AFFINITY MEDICAL CENTER,875 EIGHTH STREET NE,Massillon,OH,44646,STARK,46.36363636,9.272727273,22,6.6,52.5,15.75,0,0,31.62272727,"875 EIGHTH STREET NE
Massillon, OH 44646
(40.806358, -81.515933)"
360091,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,Medina,OH,44256,MEDINA,51.11111111,10.22222222,48,14.4,62.5,18.75,0,0,43.37222222,"1000 EAST WASHINGTON STREET
Medina, OH 44256
(41.138857, -81.836717)"
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,Fremont,OH,43420,SANDUSKY,76.66666667,15.33333333,42,12.6,46.66666667,14,0,0,41.93333333,"715 SOUTH TAFT AVENUE
Fremont, OH 43420
(41.338786, -83.134951)"
360137,UNIVERSITY HOSPITALS CASE MEDICAL CENTER,11100 EUCLID AVENUE,Cleveland,OH,44106,CUYAHOGA,61.81818182,12.36363636,38,11.4,56,16.8,10,2,42.56363636,"11100 EUCLID AVENUE
Cleveland, OH 44106
(41.507368, -81.607166)"
360134,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,Cincinnati,OH,45220,HAMILTON,48.18181818,9.636363636,46,13.8,58,17.4,10,2,42.83636364,"375 DIXMYTH AVENUE
Cincinnati, OH 45220
(39.14001, -84.52377)"
360001,MERCY HOSPITAL ANDERSON,7500 STATE ROAD,Cincinnati,OH,45255,HAMILTON,65.45454545,13.09090909,44,13.2,56,16.8,10,2,45.09090909,"7500 STATE ROAD
Cincinnati, OH 45255
(39.08438, -84.349296)"
360016,"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,Cincinnati,OH,45236,HAMILTON,40.90909091,8.181818182,38,11.4,84,25.2,10,2,46.78181818,"4777 EAST GALBRAITH ROAD
Cincinnati, OH 45236
(39.206913, -84.381797)"
360203,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,Cambridge,OH,43725,GUERNSEY,22.22222222,4.444444444,56,16.8,37.5,11.25,20,4,36.49444444,"1341 NORTH CLARK STREET
Cambridge, OH 43725
(40.040267, -81.576736)"
360112,MERCY ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,Toledo,OH,43608,LUCAS,39.09090909,7.818181818,37,11.1,44,13.2,0,0,32.11818182,"2213 CHERRY STREET
Toledo, OH 43608
(41.668448, -83.541688)"
360123,ST JOHN MEDICAL CENTER,29000 CENTER RIDGE ROAD,Westlake,OH,44145,CUYAHOGA,60,12,41,12.3,46,13.8,0,0,38.1,"29000 CENTER RIDGE ROAD
Westlake, OH 44145
(41.43475, -81.941705)"
340039,IREDELL MEMORIAL HOSPITAL INC,557 BROOKDALE DR  P O BOX 1828,Statesville,NC,28677,IREDELL,47,9.4,39,11.7,62,18.6,40,8,47.7,"557 BROOKDALE DR P O BOX 1828
Statesville, NC 28677
(35.799781, -80.876815)"
340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,Sanford,NC,27330,LEE,45.55555556,9.111111111,39,11.7,32.5,9.75,40,8,38.56111111,"1135 CARTHAGE ST
Sanford, NC 27330
(35.469624, -79.188745)"
340123,RANDOLPH HOSPITAL,364 WHITE OAK STREET,Asheboro,NC,27203,RANDOLPH,61.11111111,12.22222222,50,15,70,21,20,4,52.22222222,"364 WHITE OAK STREET
Asheboro, NC 27203
(35.711505, -79.814941)"
340120,VIDANT DUPLIN  HOSPITAL,401 N MAIN ST,Kenansville,NC,28349,DUPLIN,71.42857143,14.28571429,55,16.5,30,9,90,18,57.78571429,"401 N MAIN ST
Kenansville, NC 28349
(34.968106, -77.959485)"
340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,Laurinburg,NC,28352,SCOTLAND,55.55555556,11.11111111,60,18,67.5,20.25,70,14,63.36111111,"500 LAUCHWOOD DR
Laurinburg, NC 28352
(34.7517, -79.47042)"
340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY ST SW,Lenoir,NC,28645,CALDWELL,97.77777778,19.55555556,33,9.9,10,3,0,0,32.45555556,"321 MULBERRY ST SW
Lenoir, NC 28645
(35.910227, -81.535978)"
350015,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,Bismarck,ND,58506,BURLEIGH,64.54545455,12.90909091,47,14.1,50,15,40,8,50.00909091,"300 N 7TH ST
Bismarck, ND 58506
(46.807457, -100.781563)"
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,Smithtown,NY,11787,SUFFOLK,30,6,21,6.3,72,21.6,0,0,33.9,"50 ROUTE 25A
Smithtown, NY 11787
(40.858303, -73.18609)"
330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,Roslyn,NY,11576,NASSAU,33.63636364,6.727272727,61,18.3,78,23.4,0,0,48.42727273,"100 PORT WASHINGTON BOULEVARD
Roslyn, NY 11576
"
330222,SARATOGA HOSPITAL,211 CHURCH STREET,Saratoga Springs,NY,12866,SARATOGA,42.22222222,8.444444444,56,16.8,35,10.5,50,10,45.74444444,"211 CHURCH STREET
Saratoga Springs, NY 12866
(43.084791, -73.796267)"
330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,Bronx,NY,10457,BRONX,35,7,40,12,35,10.5,50,10,39.5,"1276 FULTON AVENUE
Bronx, NY 10457
(40.831767, -73.903745)"
340130,CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DR,Monroe,NC,28112,UNION,42.22222222,8.444444444,59,17.7,60,18,20,4,48.14444444,"600 HOSPITAL DR
Monroe, NC 28112
(34.975129, -80.522794)"
340049,NORTH CAROLINA SPECIALTY HOSPITAL,3916 BEN FRANKLIN BOULEVARD,Durham,NC,27704,DURHAM,98.33333333,28.0952381,98,42,,,50,14.28571429,84.38095238,"3916 BEN FRANKLIN BOULEVARD
Durham, NC 27704
(36.042726, -78.897484)"
340075,CMC-BLUE RIDGE,2201 S STERLING ST,Morganton,NC,28655,BURKE,76.66666667,15.33333333,49,14.7,36,10.8,20,4,44.83333333,"2201 S STERLING ST
Morganton, NC 28655
(35.723354, -81.657615)"
340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,Raleigh,NC,27609,WAKE,61.11111111,12.22222222,56,16.8,62.5,18.75,0,0,47.77222222,"3400 WAKE FOREST RD
Raleigh, NC 27609
(35.829296, -78.619402)"
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVENUE,Hamlet,NC,28345,RICHMOND,81.42857143,16.28571429,71,21.3,45,13.5,50,10,61.08571429,"1000 WEST HAMLET AVENUE
Hamlet, NC 28345
(34.900776, -79.709624)"
340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TWNSHP PRKWY BOX 3310,Matthews,NC,28105,MECKLENBURG,78.88888889,15.77777778,19,5.7,64,19.2,40,8,48.67777778,"1500 MATTHEWS TWNSHP PRKWY BOX 3310
Matthews, NC 28105
"
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,Port Jefferson,NY,11777,SUFFOLK,67.77777778,13.55555556,47,14.1,70,21,0,0,48.65555556,"75 NORTH COUNTRY ROAD
Port Jefferson, NY 11777
(40.938128, -73.053786)"
330218,OSWEGO HOSPITAL,110 WEST SIXTH STREET,Oswego,NY,13069,OSWEGO,48.88888889,9.777777778,24,7.2,65,19.5,30,6,42.47777778,"110 WEST SIXTH STREET
Oswego, NY 13069
(43.313703, -76.424018)"
330135,BON SECOURS COMMUNITY HOSPITAL,160 EAST MAIN STREET,Port Jervis,NY,12771,ORANGE,42.22222222,8.444444444,37,11.1,63.33333333,19,30,6,44.54444444,"160 EAST MAIN STREET
Port Jervis, NY 12771
(41.367955, -74.682557)"
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,Cooperstown,NY,13326,OTSEGO,33.63636364,6.727272727,20,6,26,7.8,30,6,26.52727273,"ONE ATWELL ROAD
Cooperstown, NY 13326
"
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,Bronx,NY,10467,BRONX,81.25,23.21428571,19,8.142857143,,,40,11.42857143,42.78571429,"3424 KOSSUTH AVENUE &amp; 210TH STREET
Bronx, NY 10467
"
330236,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,Brooklyn,NY,11215,KINGS,25.45454545,5.090909091,17,5.1,62,18.6,0,0,28.79090909,"506 SIXTH STREET
Brooklyn, NY 11215
(40.667862, -73.97831)"
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,Niagara Falls,NY,14302,NIAGARA,58.88888889,11.77777778,20,6,45,13.5,60,12,43.27777778,"621 TENTH STREET
Niagara Falls, NY 14302
(43.094057, -79.050478)"
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,Buffalo,NY,14214,ERIE,70,14,34,10.2,70,21,30,6,51.2,"2157 MAIN STREET
Buffalo, NY 14214
(42.929195, -78.84989)"
330332,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,Bethpage,NY,11714,NASSAU,65.55555556,13.11111111,22,6.6,48,14.4,10,2,36.11111111,"4295 HEMPSTEAD TURNPIKE
Bethpage, NY 11714
(40.725797, -73.478716)"
330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,Jamaica,NY,11432,QUEENS,36.66666667,7.333333333,10,3,90,27,30,6,43.33333333,"82-68 164TH STREET
Jamaica, NY 11432
(40.717209, -73.803502)"
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,Warsaw,NY,14569,WYOMING,55.55555556,11.11111111,20,6,35,10.5,60,12,39.61111111,"400 NORTH MAIN STREET
Warsaw, NY 14569
(42.753447, -78.132533)"
